"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"year[7,13]",0.0470266142111716,0.821926295368652,-1.5766762896005,-0.499380579052247,0.0473946914402978,0.603447150678022,1.6460283968727,1.00033451189042,7514,1,0.523375
"year[8,13]",-0.417593856211868,0.835483167065609,-2.07193456982741,-0.972573045545339,-0.411143244034041,0.142839864656027,1.21227248031039,1.00025090238193,11670,1,0.692225
"year[9,13]",-0.0255704963503586,0.83075498211067,-1.65907912351978,-0.577725068306836,-0.0208104775677441,0.532091836233084,1.59224242536815,1.00026974797692,9180,1,0.510475
"year[10,13]",0.580570085834589,0.79593668368914,-1.03377793308816,0.0462839810043584,0.597650487014747,1.13178379617025,2.08336481057673,1.00058955627037,4169,1,0.76745
"year[11,13]",-0.856185996851469,0.758234210147552,-2.34937721779552,-1.36583567323306,-0.849659517007681,-0.349963063666533,0.616576430864683,1.00019006846394,12139,1,0.870825
"year[12,13]",-0.00585254368989808,0.81926153826944,-1.63906573003105,-0.552299858973912,-0.0038104154225346,0.547107823787666,1.58181574440474,1.0003702056304,9760,1,0.501975
"year[13,13]",0.0371134243212104,0.823196446342238,-1.60013010250173,-0.513341429142813,0.0419139279815349,0.587184750514115,1.63348958105763,1.00006217976802,40000,1,0.520875
"year[14,13]",-0.190588562931325,0.723228011634902,-1.63638126610979,-0.671353286450749,-0.182578784625895,0.30362909668835,1.18988677632643,1.000219466982,9970,1,0.601175
"year[15,13]",-0.243764454253786,0.778550121822759,-1.78364547729994,-0.767464249299819,-0.239303551999831,0.285206226098846,1.26344251209214,1.00012473484326,19141,1,0.61965
"year[16,13]",-0.0819638238695366,0.825676967602342,-1.71518487385311,-0.636438661306449,-0.0802647412430229,0.475191421924867,1.52024338487518,1.00028711878479,11208,1,0.537625
"year[17,13]",0.0416670911780393,0.6746405999729,-1.28183913825771,-0.411320161258487,0.0431518620521365,0.495778200651708,1.36198866952529,1.00016871240097,12672,1,0.526275
"year[18,13]",-0.0275293823283541,0.833246652506751,-1.66372463406898,-0.583328762467917,-0.0340944515613687,0.533669032584014,1.60455846945542,1.00024123236354,10103,1,0.515625
"year[19,13]",-0.038177496919347,0.75343731608651,-1.51486226404826,-0.541045839940979,-0.0339786424906866,0.467991337284025,1.43166929181408,1.00030796164292,7437,1,0.519075
"year[20,13]",0.00693663401899036,0.835744941314757,-1.63681038177966,-0.550017933205324,0.00717214924478761,0.566507126624552,1.64859508606546,1.00001313740118,40000,1,0.503375
"year[21,13]",-0.0832141057056122,0.824585706980557,-1.70994758320908,-0.631614852525147,-0.0782915724630547,0.468986742384994,1.52959791211194,1.00013391048544,40000,1,0.5386
"year[22,13]",-0.1810459904915,0.80997618576552,-1.79278192920615,-0.720763988217763,-0.17008168565651,0.366176999474959,1.38439286185781,1.00001943426617,40000,1,0.584775
"year[23,13]",-0.0689077465290271,0.826610923439054,-1.67179171142689,-0.626912166727767,-0.0680316301156687,0.487775932443347,1.56148289066582,1.00020209910026,11751,1,0.531475
"year[24,13]",0.0475201257513692,0.731609724222487,-1.39339253272871,-0.442656644098856,0.0480228001946783,0.538314457274335,1.47389189029236,1.00009151266691,24636,1,0.52605
"year[25,13]",1.1383828098999,0.64331370191545,-0.15044449283358,0.712286504212531,1.14501251831654,1.56783229677266,2.38339901786181,1.00027833994237,15204,1,0.958775
"year[26,13]",-0.351541005592597,0.668507560492103,-1.67632589301855,-0.796358401746469,-0.345892832246603,0.0969028295412033,0.949275891681786,1.00034390823889,7059,1,0.699275
